,Symbol,Time,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4
345,EURUSD,21-05-2015 21:00,Sell,1.10074,1.10016,1.10095,1.0959,1.09766,1.09766,1.0981,1.08633,1.0871899999999999,1.0871899999999999,1.0929,1.08192,1.09038,1.09036,1.09584,1.08671,1.09474
121,EURUSD,21-05-2015 21:00,Sell,1.10074,1.10016,1.10095,1.0959,1.09766,1.09766,1.0981,1.08633,1.0871899999999999,1.0871899999999999,1.0929,1.08192,1.09038,1.09036,1.09584,1.08671,1.09474
271,EURUSD,21-05-2015 21:00,Sell,1.10074,1.10016,1.10095,1.0959,1.09766,1.09766,1.0981,1.08633,1.08719,1.08719,1.0929,1.08192,1.09038,1.09036,1.09584,1.08671,1.09474
199,EURJPY,28-06-2015 21:00,Sell,137.667,137.674,137.738,135.882,136.529,136.52,137.41299999999998,136.03,136.157,136.158,136.916,136.041,136.357,136.36,136.845,135.91,136.425
120,EURUSD,04-07-2015 21:00,Sell,1.07805,1.078,1.07886,1.06377,1.06587,1.06588,1.06837,1.05679,1.0602200000000002,1.05853,1.0619,1.05203,1.05669,1.05669,1.07074,1.05315,1.06541
344,EURUSD,04-07-2015 21:00,Sell,1.07805,1.078,1.07886,1.06377,1.06587,1.06588,1.06837,1.05679,1.0602200000000002,1.05853,1.0619,1.05203,1.05669,1.05669,1.07074,1.05315,1.06541
200,EURJPY,22-07-2015 00:00,Buy,136.1,136.093,136.28,135.529,135.92,135.864,137.10399999999998,135.75,136.66,136.66,136.97899999999998,136.368,136.67600000000002,136.639,136.925,135.975,136.08700000000002
346,EURUSD,26-07-2015 00:00,Buy,1.10871,1.10874,1.10996,1.1022100000000001,1.10596,1.1059299999999999,1.1084,1.09669,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.0921100000000001,1.0983
48,EURUSD,26-07-2015 00:00,Buy,1.10871,1.10874,1.10996,1.10221,1.10596,1.10593,1.1084,1.09669,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.09211,1.0983
272,EURUSD,26-07-2015 00:00,Buy,1.10871,1.10874,1.10996,1.10221,1.10596,1.10593,1.1084,1.09669,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.09211,1.0983
122,EURUSD,26-07-2015 00:00,Buy,1.10871,1.10874,1.10996,1.1022100000000001,1.10596,1.1059299999999999,1.1084,1.09669,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.0921100000000001,1.0983
273,EURUSD,28-07-2015 21:00,Sell,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.09211,1.0983,1.09705,1.0995700000000002,1.0941299999999998,1.09491,1.09493,1.09875,1.08789,1.08806
123,EURUSD,28-07-2015 21:00,Sell,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.0921100000000001,1.0983,1.09705,1.0995700000000002,1.0941299999999998,1.09491,1.09493,1.09875,1.08789,1.08806
49,EURUSD,28-07-2015 21:00,Sell,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.09211,1.0983,1.09705,1.0995700000000002,1.0941299999999998,1.09491,1.09493,1.09875,1.08789,1.08806
347,EURUSD,28-07-2015 21:00,Sell,1.09818,1.09825,1.09891,1.08933,1.0931,1.09311,1.1114,1.0921100000000001,1.0983,1.09705,1.0995700000000002,1.0941299999999998,1.09491,1.09493,1.09875,1.08789,1.08806
